"","domain","phylum","class","order","family","genus","species"
"ASV2183","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus","unclassified_Geodermatophilus"
"ASV2184","Bacteria","Proteobacteria","unclassified_Proteobacteria","unclassified_Proteobacteria","unclassified_Proteobacteria","unclassified_Proteobacteria","unclassified_Proteobacteria"
"ASV2185","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Blastococcus","unclassified_Blastococcus"
"ASV2186","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria","unclassified_Kocuria"
"ASV2187","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","unclassified_Stenotrophomonas"
"ASV2188","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","unclassified_Cellulomonas"
"ASV2189","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Saccharibacillus","unclassified_Saccharibacillus"
"ASV2190","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","unclassified_Noviherbaspirillum"
"ASV2191","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","unclassified_Geodermatophilaceae","unclassified_Geodermatophilaceae"
"ASV2192","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","unclassified_Roseomonas"
"ASV2193","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","unclassified_Rhodobacteraceae","unclassified_Rhodobacteraceae"
"ASV2194","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales","unclassified_Enterobacterales"
"ASV2195","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","unclassified_Massilia"
"ASV2196","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","unclassified_Pantoea"
"ASV2197","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","unclassified_Pseudomonadaceae","unclassified_Pseudomonadaceae"
"ASV2198","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","unclassified_Rhizobiaceae","unclassified_Rhizobiaceae"
